iter	Passed	Remaining
401	17226	25624
402	17302	25631
403	17333	25571
404	17341	25477
405	17381	25429
406	17427	25392
407	17474	25355
408	17507	25297
409	17522	25214
410	17531	25123
411	17598	25116
412	17646	25081
413	17694	25045
414	17756	25030
415	17804	24995
416	17820	24913
417	17835	24833
418	17882	24796
419	17960	24802
420	18023	24787
421	18038	24706
422	18083	24667
423	18129	24628
424	18160	24570
425	18208	24534
426	18240	24477
427	18270	24417
428	18286	24339
429	18318	24282
430	18349	24224
431	18379	24165
432	18427	24129
433	18478	24099
434	18491	24017
435	18550	23996
436	18629	24001
437	18645	23923
438	18677	23867
439	18707	23809
440	18739	23753
441	18784	23714
442	18816	23658
443	18832	23582
444	18862	23525
445	18894	23469
446	18940	23431
447	18986	23394
448	19063	23393
449	19094	23338
450	19169	23334
451	19205	23284
452	19221	23210
453	19269	23173
454	19299	23117
455	19328	23058
456	19359	23002
457	19407	22967
458	19454	22929
459	19499	22891
460	19546	22853
461	19579	22800
462	19611	22745
463	19640	22688
464	19671	22632
465	19717	22595
466	19763	22556
467	19792	22499
468	19838	22461
469	19884	22422
470	19916	22369
471	19947	22313
472	19992	22275
473	20023	22220
474	20055	22166
475	20103	22130
476	20134	22076
477	20150	22005
478	20195	21966
479	20242	21928
480	20274	21876
481	20304	21821
482	20336	21768
483	20429	21780
484	20477	21744
485	20541	21724
486	20603	21703
487	20634	21649
488	20666	21595
489	20711	21557
490	20776	21537
491	20785	21461
492	20850	21442
493	20866	21373
494	20914	21336
495	20928	21266
496	20945	21198
497	20992	21161
498	21040	21124
499	21086	21086
500	21117	21033
501	21133	20964
502	21164	20911
503	21194	20858
504	21225	20805
505	21288	20783
506	21334	20745
507	21367	20694
508	21414	20657
509	21431	20590
510	21478	20553
511	21510	20501
512	21525	20434
513	21541	20368
514	21588	20331
515	21619	20278
516	21667	20242
517	21698	20190
518	21728	20137
519	21760	20086
520	21806	20048
521	21852	20010
522	21899	19973
523	21963	19951
524	21979	19886
525	22008	19833
526	22025	19768
527	22086	19744
528	22133	19707
529	22164	19655
530	22180	19590
531	22195	19525
532	22242	19487
533	22289	19451
534	22319	19399
535	22351	19348
536	22366	19284
537	22382	19220
538	22396	19155
539	22428	19105
540	22458	19054
541	22468	18986
542	22504	18940
543	22536	18890
544	22567	18840
545	22599	18791
546	22630	18741
547	22638	18672
548	22691	18641
549	22708	18579
550	22739	18529
551	22754	18467
552	22785	18418
553	22832	18381
554	22863	18331
555	22908	18294
556	22924	18232
557	22969	18194
558	23001	18145
559	23031	18095
560	23094	18072
561	23125	18022
562	23139	17961
563	23170	17911
564	23217	17875
565	23281	17851
566	23314	17804
567	23346	17756
568	23376	17706
569	23391	17646
570	23406	17585
571	23452	17548
572	23482	17499
573	23530	17463
574	23561	17415
575	23592	17366
576	23621	17316
577	23652	17269
578	23699	17232
579	23746	17195
580	23775	17146
581	23791	17087
582	23837	17050
583	23853	16991
584	23885	16944
585	23931	16907
586	23962	16859
587	23994	16812
588	24008	16753
589	24039	16705
590	24053	16646
591	24085	16599
592	24130	16561
593	24162	16514
594	24193	16467
595	24224	16420
596	24269	16383
597	24301	16336
598	24346	16298
599	24394	16262
600	24425	16215
601	24456	16169
602	24487	16122
603	24518	16074
604	24549	16028
605	24580	15981
606	24628	15945
607	24659	15898
608	24691	15852
609	24722	15805
610	24737	15749
611	24768	15702
612	24816	15667
613	24863	15630
614	24871	15569
