iter	RMSE
0	34.24891964
1	33.3169159
2	32.46994632
3	31.82373509
4	31.14902728
5	30.56175175
6	30.0215723
7	29.52209544
8	29.07182858
9	28.6912389
10	28.29829104
11	27.92714993
12	27.58819092
13	27.32011574
14	27.03142625
15	26.77453043
16	26.53507035
17	26.30159932
18	26.09931858
19	25.91528237
20	25.70102491
21	25.51584338
22	25.32930709
23	25.15223702
24	25.00054855
25	24.84227997
26	24.69031595
27	24.54754342
28	24.42975603
29	24.29510863
30	24.18238716
31	24.09590186
32	23.98655596
33	23.87895361
34	23.81054273
35	23.71911652
36	23.67151785
37	23.59675035
38	23.55798917
39	23.47727027
40	23.3737793
41	23.32615063
42	23.24444413
43	23.17110472
44	23.09491773
45	23.03960786
46	22.96358325
47	22.87479698
48	22.81180044
49	22.75471104
50	22.70003563
51	22.67677113
52	22.59112434
53	22.54057099
54	22.51415619
55	22.45207752
56	22.37341653
57	22.35582052
58	22.29066207
59	22.22765459
60	22.21247605
61	22.18054791
62	22.13172944
63	22.10608078
64	22.0770408
65	22.01209911
66	21.99485626
67	21.94418871
68	21.91040039
69	21.87636334
70	21.85483857
71	21.79015733
72	21.74106253
73	21.67741337
74	21.66065081
75	21.61636315
76	21.60402259
77	21.579787
78	21.52615699
79	21.48546358
80	21.47078803
81	21.41891757
82	21.38582255
83	21.33606816
84	21.32024902
85	21.30136038
86	21.28081825
87	21.26056941
88	21.22356734
89	21.14392163
90	21.12766124
91	21.10417353
92	21.08120117
93	21.05751982
94	21.04398352
95	21.00158789
96	20.95128736
97	20.92372837
98	20.89995419
99	20.86157638
100	20.84582154
101	20.81000561
102	20.77316463
103	20.75248682
104	20.73768275
105	20.70161669
106	20.67444887
107	20.66746982
108	20.61379261
109	20.60383578
110	20.56441903
111	20.54977493
112	20.51796593
113	20.50349096
114	20.49730744
115	20.45100791
116	20.42535098
117	20.41011917
118	20.37862266
119	20.3629104
120	20.35614957
121	20.32534661
122	20.31526209
123	20.29345165
124	20.25123384
125	20.22367882
126	20.18797906
127	20.17797885
128	20.15434691
129	20.13042167
130	20.0898022
131	20.06462721
132	20.05436435
133	20.01843953
134	20.00418409
135	19.9972098
136	19.98715697
137	19.95348519
138	19.93294737
139	19.90692948
140	19.87534379
141	19.83571913
142	19.8215089
143	19.78514403
144	19.75820142
145	19.7460591
146	19.70796589
147	19.68883044
148	19.65552517
149	19.62319809
150	19.59878435
151	19.59008159
152	19.5663217
153	19.52596697
154	19.49705437
155	19.47325553
156	19.44844017
157	19.42959605
158	19.40849983
159	19.39171726
160	19.36406583
161	19.34484311
162	19.31414626
163	19.30180869
164	19.27705099
165	19.25525569
166	19.22963841
167	19.22430503
168	19.20249132
169	19.19248184
170	19.17386431
171	19.15209747
172	19.13023802
173	19.12388879
174	19.10054462
175	19.08587212
176	19.05412379
177	19.04388615
178	19.02478462
179	19.01042021
180	19.0000586
181	18.9678322
182	18.94404677
183	18.93078412
184	18.91257945
185	18.88027265
186	18.86839876
187	18.85805538
188	18.84566167
189	18.83805334
190	18.81909199
191	18.79766628
192	18.75087527
193	18.74677071
194	18.72401203
195	18.71153869
196	18.68328309
197	18.65822022
198	18.64882336
199	18.63430477
200	18.60962475
201	18.59603601
202	18.58267918
203	18.57097814
204	18.56040992
205	18.54953943
206	18.5410477
207	18.51925957
208	18.49264816
209	18.47738719
210	18.46116508
211	18.45747853
212	18.43761229
213	18.42468148
214	18.41665593
215	18.39888858
216	18.39383671
217	18.3817816
218	18.36866473
219	18.36037522
220	18.34751255
221	18.33627454
222	18.3292579
223	18.30226351
224	18.2828451
225	18.27848589
226	18.26128085
227	18.2479336
228	18.23110448
229	18.19568463
230	18.18178487
231	18.16235653
232	18.13991096
233	18.12383126
234	18.11987961
235	18.10367846
236	18.07272106
237	18.05905211
238	18.0473876
239	18.02769549
240	18.01398949
241	18.00074521
242	17.99308944
243	17.98452691
244	17.96698565
245	17.94394944
246	17.92596763
247	17.91542448
248	17.88681211
249	17.87213388
250	17.85617399
251	17.84367484
252	17.83432831
253	17.81923165
254	17.81521485
255	17.80494425
256	17.78912017
257	17.77941412
258	17.76431061
259	17.75526058
260	17.73797754
261	17.72827718
262	17.7126545
263	17.69785537
264	17.68688761
265	17.67505616
266	17.6516651
267	17.63939412
268	17.62867053
269	17.6044333
270	17.59967741
271	17.59108388
272	17.57267793
273	17.55409663
274	17.54839945
275	17.54222858
276	17.53044641
277	17.52061244
278	17.50540756
279	17.49266397
280	17.48311314
281	17.47440361
282	17.4580151
283	17.45093677
284	17.43270323
285	17.42003627
286	17.41199789
287	17.40125761
288	17.39173371
289	17.38499626
290	17.37271396
291	17.35820601
292	17.35027835
293	17.3482216
294	17.34188752
295	17.3315658
296	17.32058439
297	17.31199236
298	17.30163875
299	17.29046719
300	17.27497442
301	17.26575163
302	17.26183566
303	17.25396717
304	17.24574344
305	17.24109654
306	17.23784177
307	17.22305893
308	17.21439585
309	17.18262185
310	17.17884574
311	17.16668105
312	17.16107013
313	17.148078
314	17.1410237
315	17.12962632
316	17.11284494
317	17.10545182
318	17.08303451
319	17.07555756
320	17.0628216
321	17.05439837
322	17.04609913
323	17.03868329
324	17.02703945
325	17.01720007
326	17.00932983
327	17.00076724
328	16.99094992
329	16.97827304
330	16.96903149
331	16.96018164
332	16.94824159
